"filename", "language", "Haskell", "comment", "blank", "total"
"/home/gnumonic/Code/Haskell/placket/src/Automata/ARPCache.hs", "Haskell", 76, 2, 14, 92
"/home/gnumonic/Code/Haskell/placket/src/Automata/CommandParser.hs", "Haskell", 463, 46, 73, 582
"/home/gnumonic/Code/Haskell/placket/src/Automata/FactoryTypes.hs", "Haskell", 292, 25, 99, 416
"/home/gnumonic/Code/Haskell/placket/src/Automata/ListenServer.hs", "Haskell", 67, 7, 14, 88
"/home/gnumonic/Code/Haskell/placket/src/Automata/MachineController.hs", "Haskell", 64, 2, 12, 78
"/home/gnumonic/Code/Haskell/placket/src/Automata/MachineParser.hs", "Haskell", 750, 57, 123, 930
"/home/gnumonic/Code/Haskell/placket/src/Automata/MyReaderT.hs", "Haskell", 162, 35, 40, 237
"/home/gnumonic/Code/Haskell/placket/src/Automata/PacketMachines/BuilderMachines.hs", "Haskell", 99, 19, 17, 135
"/home/gnumonic/Code/Haskell/placket/src/Automata/PacketMachines/EffectfulMachines.hs", "Haskell", 113, 20, 28, 161
"/home/gnumonic/Code/Haskell/placket/src/Automata/PacketMachines/HigherOrderMachines.hs", "Haskell", 149, 29, 19, 197
"/home/gnumonic/Code/Haskell/placket/src/Automata/PacketMachines/SelectorMachines.hs", "Haskell", 17, 10, 8, 35
"/home/gnumonic/Code/Haskell/placket/src/Automata/PacketMachines/UtilityMachines.hs", "Haskell", 75, 20, 25, 120
"/home/gnumonic/Code/Haskell/placket/src/Automata/PacketServer.hs", "Haskell", 65, 6, 16, 87
"/home/gnumonic/Code/Haskell/placket/src/Automata/PacketSources.hs", "Haskell", 114, 4, 14, 132
"/home/gnumonic/Code/Haskell/placket/src/Automata/Randomizer.hs", "Haskell", 278, 13, 59, 350
"/home/gnumonic/Code/Haskell/placket/src/Automata/SourceManager.hs", "Haskell", 102, 5, 54, 161
"/home/gnumonic/Code/Haskell/placket/src/Automata/SourceParser.hs", "Haskell", 126, 4, 18, 148
"/home/gnumonic/Code/Haskell/placket/src/Base/Classes.hs", "Haskell", 184, 48, 118, 350
"/home/gnumonic/Code/Haskell/placket/src/Base/FieldClasses.hs", "Haskell", 391, 57, 142, 590
"/home/gnumonic/Code/Haskell/placket/src/Base/GPrettyPrint.hs", "Haskell", 52, 228, 10, 290
"/home/gnumonic/Code/Haskell/placket/src/Base/GenericFunctions.hs", "Haskell", 76, 86, 32, 194
"/home/gnumonic/Code/Haskell/placket/src/Base/PrettyPrint.hs", "Haskell", 125, 24, 37, 186
"/home/gnumonic/Code/Haskell/placket/src/Base/PrimFuncs.hs", "Haskell", 64, 1, 25, 90
"/home/gnumonic/Code/Haskell/placket/src/Base/PrimParsers.hs", "Haskell", 308, 4, 74, 386
"/home/gnumonic/Code/Haskell/placket/src/Base/PrimTypes.hs", "Haskell", 262, 71, 72, 405
"/home/gnumonic/Code/Haskell/placket/src/Base/Records/OptionalFields.hs", "Haskell", 85, 35, 32, 152
"/home/gnumonic/Code/Haskell/placket/src/Base/Records/RecordFuncs.hs", "Haskell", 241, 41, 107, 389
"/home/gnumonic/Code/Haskell/placket/src/Base/Records/RecordParsers.hs", "Haskell", 224, 13, 47, 284
"/home/gnumonic/Code/Haskell/placket/src/Base/Records/RecordTypes.hs", "Haskell", 53, 9, 33, 95
"/home/gnumonic/Code/Haskell/placket/src/Base/Staging.hs", "Haskell", 129, 14, 41, 184
"/home/gnumonic/Code/Haskell/placket/src/Base/Wrappers.hs", "Haskell", 31, 28, 53, 112
"/home/gnumonic/Code/Haskell/placket/src/IO/PacketIO.hs", "Haskell", 119, 2, 31, 152
"/home/gnumonic/Code/Haskell/placket/src/IO/UserAgent.hs", "Haskell", 115, 6, 59, 180
"/home/gnumonic/Code/Haskell/placket/src/PacketFuncs/MessageBuilders.hs", "Haskell", 34, 34, 11, 79
"/home/gnumonic/Code/Haskell/placket/src/PacketFuncs/NextProtocol.hs", "Haskell", 97, 25, 25, 147
"/home/gnumonic/Code/Haskell/placket/src/PacketFuncs/PacketFilters.hs", "Haskell", 19, 7, 13, 39
"/home/gnumonic/Code/Haskell/placket/src/PacketFuncs/PacketOperations.hs", "Haskell", 107, 10, 42, 159
"/home/gnumonic/Code/Haskell/placket/src/PacketFuncs/Serializer.hs", "Haskell", 66, 27, 22, 115
"/home/gnumonic/Code/Haskell/placket/src/Protocols/DNS.hs", "Haskell", 179, 17, 38, 234
"/home/gnumonic/Code/Haskell/placket/src/Protocols/Ethernet.hs", "Haskell", 104, 11, 24, 139
"/home/gnumonic/Code/Haskell/placket/src/Protocols/ICMP4.hs", "Haskell", 226, 0, 56, 282
"/home/gnumonic/Code/Haskell/placket/src/Protocols/IP4.hs", "Haskell", 206, 11, 35, 252
"/home/gnumonic/Code/Haskell/placket/src/Protocols/TCP.hs", "Haskell", 124, 43, 23, 190
"/home/gnumonic/Code/Haskell/placket/src/Protocols/UDP.hs", "Haskell", 65, 0, 11, 76
"/home/gnumonic/Code/Haskell/placket/src/TH/TH.hs", "Haskell", 93, 27, 28, 148
"/home/gnumonic/Code/Haskell/placket/src/TH/TH2.hs", "Haskell", 48, 29, 17, 94
"/home/gnumonic/Code/Haskell/placket/src/TH/THAlias.hs", "Haskell", 36, 28, 11, 75
"/home/gnumonic/Code/Haskell/placket/src/TH/THDefaults.hs", "Haskell", 44, 28, 18, 90
"/home/gnumonic/Code/Haskell/placket/src/TH/THDeriverUtils.hs", "Haskell", 147, 27, 25, 199
"/home/gnumonic/Code/Haskell/placket/src/TH/THOptional.hs", "Haskell", 43, 1, 9, 53
"/home/gnumonic/Code/Haskell/placket/src/TH/THPrettyPrint.hs", "Haskell", 177, 4, 34, 215
"/home/gnumonic/Code/Haskell/placket/src/TH/THRandom.hs", "Haskell", 14, 2, 7, 23
"/home/gnumonic/Code/Haskell/placket/src/TH/THRecords.hs", "Haskell", 497, 13, 137, 647
"/home/gnumonic/Code/Haskell/placket/src/TH/THUtils.hs", "Haskell", 110, 2, 30, 142
"/home/gnumonic/Code/Haskell/placket/src/TH/THWrappers.hs", "Haskell", 69, 28, 20, 117
"Total", "-", 7976, 1345, 2182, 11503